mbti,variant,oracle_paper_preset_path,save_card_preset_path,available
INTJ,01,07_oracle_page_assets/paper_presets/INTJ/07-oracle-paper-INTJ-01.png,10_save_page_assets/save_presets/INTJ/10-deity-INTJ-01.png,yes
INTJ,02,07_oracle_page_assets/paper_presets/INTJ/07-oracle-paper-INTJ-02.png,10_save_page_assets/save_presets/INTJ/10-deity-INTJ-02.png,yes
INTJ,03,07_oracle_page_assets/paper_presets/INTJ/07-oracle-paper-INTJ-03.png,10_save_page_assets/save_presets/INTJ/10-deity-INTJ-03.png,yes
INTP,01,07_oracle_page_assets/paper_presets/INTP/07-oracle-paper-INTP-01.png,10_save_page_assets/save_presets/INTP/10-deity-INTP-01.png,yes
INTP,02,07_oracle_page_assets/paper_presets/INTP/07-oracle-paper-INTP-02.png,10_save_page_assets/save_presets/INTP/10-deity-INTP-02.png,yes
INTP,03,07_oracle_page_assets/paper_presets/INTP/07-oracle-paper-INTP-03.png,10_save_page_assets/save_presets/INTP/10-deity-INTP-03.png,yes
INFJ,01,07_oracle_page_assets/paper_presets/INFJ/07-oracle-paper-INFJ-01.png,10_save_page_assets/save_presets/INFJ/10-deity-INFJ-01.png,yes
INFJ,02,07_oracle_page_assets/paper_presets/INFJ/07-oracle-paper-INFJ-02.png,10_save_page_assets/save_presets/INFJ/10-deity-INFJ-02.png,yes
INFJ,03,07_oracle_page_assets/paper_presets/INFJ/07-oracle-paper-INFJ-03.png,10_save_page_assets/save_presets/INFJ/10-deity-INFJ-03.png,yes
INFP,01,07_oracle_page_assets/paper_presets/INFP/07-oracle-paper-INFP-01.png,10_save_page_assets/save_presets/INFP/10-deity-INFP-01.png,yes
INFP,02,07_oracle_page_assets/paper_presets/INFP/07-oracle-paper-INFP-02.png,10_save_page_assets/save_presets/INFP/10-deity-INFP-02.png,yes
INFP,03,07_oracle_page_assets/paper_presets/INFP/07-oracle-paper-INFP-03.png,10_save_page_assets/save_presets/INFP/10-deity-INFP-03.png,yes
ISTJ,01,,,no
ISTJ,02,,,no
ISTJ,03,,,no
ISFJ,01,,,no
ISFJ,02,,,no
ISFJ,03,,,no
ISTP,01,,,no
ISTP,02,,,no
ISTP,03,,,no
ISFP,01,,,no
ISFP,02,,,no
ISFP,03,,,no
ENTJ,01,07_oracle_page_assets/paper_presets/ENTJ/07-oracle-paper-ENTJ-01.png,10_save_page_assets/save_presets/ENTJ/10-deity-ENTJ-01.png,yes
ENTJ,02,07_oracle_page_assets/paper_presets/ENTJ/07-oracle-paper-ENTJ-02.png,10_save_page_assets/save_presets/ENTJ/10-deity-ENTJ-02.png,yes
ENTJ,03,07_oracle_page_assets/paper_presets/ENTJ/07-oracle-paper-ENTJ-03.png,10_save_page_assets/save_presets/ENTJ/10-deity-ENTJ-03.png,yes
ENTP,01,07_oracle_page_assets/paper_presets/ENTP/07-oracle-paper-ENTP-01.png,10_save_page_assets/save_presets/ENTP/10-deity-ENTP-01.png,yes
ENTP,02,07_oracle_page_assets/paper_presets/ENTP/07-oracle-paper-ENTP-02.png,10_save_page_assets/save_presets/ENTP/10-deity-ENTP-02.png,yes
ENTP,03,07_oracle_page_assets/paper_presets/ENTP/07-oracle-paper-ENTP-03.png,10_save_page_assets/save_presets/ENTP/10-deity-ENTP-03.png,yes
ENFJ,01,07_oracle_page_assets/paper_presets/ENFJ/07-oracle-paper-ENFJ-01.png,10_save_page_assets/save_presets/ENFJ/10-deity-ENFJ-01.png,yes
ENFJ,02,07_oracle_page_assets/paper_presets/ENFJ/07-oracle-paper-ENFJ-02.png,10_save_page_assets/save_presets/ENFJ/10-deity-ENFJ-02.png,yes
ENFJ,03,07_oracle_page_assets/paper_presets/ENFJ/07-oracle-paper-ENFJ-03.png,10_save_page_assets/save_presets/ENFJ/10-deity-ENFJ-03.png,yes
ENFP,01,,,no
ENFP,02,,,no
ENFP,03,,,no
ESTJ,01,,,no
ESTJ,02,,,no
ESTJ,03,,,no
ESFJ,01,07_oracle_page_assets/paper_presets/ESFJ/07-oracle-paper-ESFJ-01.png,10_save_page_assets/save_presets/ESFJ/10-deity-ESFJ-01.png,yes
ESFJ,02,07_oracle_page_assets/paper_presets/ESFJ/07-oracle-paper-ESFJ-02.png,10_save_page_assets/save_presets/ESFJ/10-deity-ESFJ-02.png,yes
ESFJ,03,07_oracle_page_assets/paper_presets/ESFJ/07-oracle-paper-ESFJ-03.png,10_save_page_assets/save_presets/ESFJ/10-deity-ESFJ-03.png,yes
ESTP,01,,,no
ESTP,02,,,no
ESTP,03,,,no
ESFP,01,,,no
ESFP,02,,,no
ESFP,03,,,no
